gene,log2FC,t,p,s2,s2_post,fdr
XLOC_011927,0.2590495749999997,6.30807446270438,0.0007405067586098685,0.0033728897167895713,0.003372889717388754,0.4783069503442497
AC073525.1,0.9482378750000002,6.306187088516702,0.000741684232290926,0.04522003455898955,0.04522003455910123,0.4783069503442497
CATG00000118225.1,-0.5040890750000013,-6.293660924420945,0.0007495534921688184,0.012830331676709598,0.012830331677198607,0.4783069503442497
AC090505.2,-0.6273585250000009,-6.287606939707837,0.0007533910171575046,0.019910897386822984,0.019910897387229506,0.4783069503442497
LINC00161,0.7305933499999986,6.26033529955253,0.0007709594826999751,0.027238691228318363,0.027238691228639523,0.4783069503442497
CXCL14,0.9517900749999999,6.223880152956889,0.0007951817683210337,0.046772426011632916,0.04677242601172651,0.4783069503442497
PHKA2-AS1,0.61942305,6.223219780231542,0.0007956285141859355,0.01981410419855587,0.019814104198963522,0.4783069503442497
LINC00960,0.5677197999999999,6.18947707776911,0.0008188428432988436,0.016826359366113305,0.01682635936655576,0.4783069503442497
AP001273.2,0.49836542500000025,6.169184206673864,0.0008331770789644464,0.013051797555794614,0.013051797556281042,0.4783069503442497
G031345,0.5986523250000007,6.145810693944012,0.0008500446429545099,0.01897671281024466,0.018976712810662065,0.4783069503442497
CCDC37-DT,-0.36282475000000014,-6.1394637754712145,0.0008546921634697607,0.006984943901639166,0.0069849439021962695,0.4783069503442497
AL132819.1,0.9014818250000003,6.134222360595188,0.0008585521136204091,0.04319414845692793,0.04319414845706321,0.4783069503442497
G053003,-0.7297743000000003,-6.093843707899713,0.0008889663233617063,0.02868299537058333,0.028682995370887664,0.4783069503442497
XLOC_012073,0.5620094999999994,6.090848436453774,0.0008912711208384804,0.017027924808249984,0.017027924808690094,0.4783069503442497
LINC02324,-0.6463797250000001,-6.073839068939144,0.0009044898419526331,0.02265055693873795,0.022650556939112557,0.4783069503442497
AC105415.1,-1.0761355250000006,-6.065899747799896,0.0009107365171783798,0.06294677373293453,0.0629467737328397,0.4783069503442497
ST3GAL5,1.282159,6.014001689404698,0.0009528070920017329,0.0909047704612499,0.09090477046082937,0.4783069503442497
MPO,0.8386684500000001,5.993353276961838,0.0009701603505911721,0.03916253996011914,0.03916253996030139,0.4783069503442497
CATG00000033649.1,0.20325832500000018,5.9814856584848455,0.000980297519741803,0.0023094499177895816,0.0023094499184011527,0.4783069503442497
NFE2L2,0.7988228999999993,5.979059137477368,0.0009823851055836008,0.03569976115434916,0.03569976115457175,0.4783069503442497
AL122125.1,1.1674756249999998,5.955929717198306,0.0010025410209043974,0.0768469280230729,0.07684692802281613,0.4783069503442497
DZIP1L,0.42438705,5.952136136717311,0.001005891833314599,0.010167367706842519,0.010167367707362549,0.4783069503442497
XLOC_008995,1.2139681249999992,5.9472202795748075,0.0010102529969478761,0.08333290346761464,0.08333290346728232,0.4783069503442497
G004459,-0.34227337500000043,-5.945885066402425,0.001011441277809136,0.006627400405286259,0.006627400405847529,0.4783069503442497
OR4C3,-0.6621341749999998,-5.923392353047432,0.0010317009145493327,0.024990848556981266,0.024990848557328613,0.4783069503442497
AC024619.1,-1.0250903749999996,-5.873429810816234,0.001078384760898223,0.060921521450823045,0.06092152145075181,0.4783069503442497
XLOC_007509,-0.49762255,-5.86251160514236,0.001088905103588711,0.014409956492341709,0.014409956492812315,0.4783069503442497
AC025154.2,0.5156182999999999,5.8389417600785505,0.00111201832058214,0.015596184137593361,0.01559618413805015,0.4783069503442497
AC135895.1,-0.3221682250000004,-5.816086227034037,0.0011349677174654375,0.006136683585617926,0.006136683586184912,0.4783069503442497
