gene,log2FC,t,p,s2,s2_post,fdr
TIGD3,1.147599125000001,5.425857084096669,0.0016238139627650628,0.08946923250419796,0.08946923250379415,0.4783069503442497
HECA,0.8134700000000006,5.42560355309644,0.0016242015061357546,0.04495903328225003,0.04495903328236475,0.4783069503442497
TTTY8,1.24065345,5.40548871685877,0.0016552870314258626,0.10535642862473926,0.10535642862415039,0.4783069503442497
AL133467.3,-0.6890881000000011,-5.404838888974981,0.0016563025131325095,0.03250977698657923,0.03250977698683899,0.4783069503442497
LINC02515,0.9117369999999996,5.400139564792916,0.0016636672605693627,0.057011069288649234,0.05701106928862355,0.4783069503442497
ZNF577,0.6675275250000006,5.3742413442981585,0.0017049297171460316,0.03085560176921796,0.030855601769496983,0.4783069503442497
NBN,0.8817449500000007,5.365488364945102,0.0017191378758440441,0.05401289344187502,0.05401289344188427,0.4783069503442497
CATG00000034323.1,-0.34786494999999995,-5.361285716680745,0.001726007617656305,0.008420026060581698,0.008420026061122085,0.4783069503442497
CACNG5,0.6328340250000011,5.359107299530012,0.0017295807964628955,0.02788847285893296,0.027888472859246546,0.4783069503442497
G080932,0.42480699999999993,5.357417924999654,0.001732357612103053,0.012574834320645845,0.01257483432113783,0.4783069503442497
LINC01298,-0.7493254,-5.356624781730795,0.0017336630470873346,0.03913708285336243,0.03913708285354498,0.4783069503442497
AC005082.1,-0.7645904000000003,-5.353554917548857,0.0017387263003226568,0.04079464452455999,0.04079464452472323,0.4783069503442497
G038031,-0.4374476000000005,-5.346334193079015,0.0017507022120777885,0.013389669796436673,0.013389669796919166,0.4783069503442497
AC024559.1,-0.5510992999999993,-5.343384137184217,0.001755622003779102,0.021274380415009952,0.02127438041540059,0.4783069503442497
G042187,0.9408409249999998,5.33438738246177,0.0017707232546758987,0.06221474054289458,0.06221474054280828,0.4783069503442497
SNHG9,0.505674749999999,5.312547300718977,0.0018080010619128957,0.018120363804124958,0.01812036380455234,0.4783069503442497
CYP11A1,-0.7483480000000018,-5.293557253887592,0.0018411410832749988,0.03997071996391668,0.03997071996408951,0.4783069503442497
PAPPA,-1.0581845750000003,-5.287599237647283,0.0018516805520437706,0.0801006031444029,0.08010060314410823,0.4783069503442497
NLRP7,0.6762634000000007,5.271750234462146,0.0018800523582975881,0.03291183604822923,0.03291183604848431,0.4783069503442497
CATG00000054531.1,0.6809425749999996,5.269972758140857,0.001883264990662719,0.033391369590522905,0.033391369590772386,0.4783069503442497
IQCA1L,-0.6306494249999997,-5.267837048603376,0.0018871333570870924,0.028664299910842895,0.028664299911147446,0.4783069503442497
AP001057.1,-0.761289324999999,-5.26259457035933,0.00189666731566424,0.041853294478306234,0.041853294478457134,0.4783069503442497
LOC105447645,0.614829275,5.246497736739994,0.0019262849510779255,0.02746629576317623,0.027466295763494734,0.4783069503442497
PLA1A,0.7244188750000005,5.243107037937396,0.001932590558282995,0.03817966054867794,0.03817966054887164,0.4783069503442497
LOC101926889,-0.539619225,-5.238200163767798,0.0019417573549535396,0.021224655202247904,0.021224655202639123,0.4783069503442497
AL132780.1,0.610972625,5.235101844180927,0.001947570947379555,0.027241011499934593,0.027241011500255725,0.4783069503442497
ZNF732,-0.35889039999999994,-5.2303720409087,0.001956484001422698,0.009416478414706685,0.009416478415235463,0.4783069503442497
AC007598.1,0.5681424500000007,5.220251320203368,0.0019757121263045225,0.02368981402755162,0.023689814027914122,0.4783069503442497
PALM2,0.6649391250000001,5.217027553048745,0.0019818819215466836,0.03248983531726795,0.03248983531752793,0.4783069503442497
CATG00000031566.1,-0.2883210499999995,-5.214977951844604,0.0019858159289912656,0.006113328653615843,0.006113328654183101,0.4783069503442497
SMOC1,1.0887271750000007,5.214542383617165,0.0019866531021841445,0.08718378480084615,0.08718378480046898,0.4783069503442497
C1QTNF9B,-0.37136807499999946,-5.211805558493516,0.001991922536327718,0.010154597623704577,0.010154597624224757,0.4783069503442497
AC010528.1,0.5487064999999998,5.207583667662756,0.002000082469247726,0.022204331008916566,0.02220433100929637,0.4783069503442497
AC020980.1,0.7920484500000002,5.206875427612309,0.002001455049870509,0.046278483331072484,0.046278483331171835,0.4783069503442497
AL359317.2,0.6612892499999994,5.2030192969050875,0.00200894709868859,0.03230740292645836,0.03230740292672047,0.4783069503442497
LINC02055,0.46956112499999847,5.186275976242322,0.0020418493082573577,0.016394682798072914,0.0163946827985204,0.4783069503442497
PTRH2,-0.4082295249999994,-5.185352689161661,0.002043681389976844,0.012396018541581262,0.01239601854207533,0.4783069503442497
AL590502.1,-0.6840301000000002,-5.159879213840662,0.002094972629412344,0.03514805928924583,0.03514805928947485,0.4783069503442497
OR5D18,-0.37708132500000024,-5.156376816895322,0.002102138452594716,0.010695737857939565,0.01069573785845344,0.4783069503442497
G051832,0.5572735249999994,5.125507313733198,0.0021665149612591045,0.02364248393595959,0.02364248393632264,0.4783069503442497
GMFG,-1.038689625,-5.124766378717255,0.0021680874183025397,0.08215867729586476,0.08215867729554613,0.4783069503442497
ACO2,-0.2523186749999997,-5.121739670316936,0.0021745243545783963,0.004853933095946256,0.004853933096528184,0.4783069503442497
