gene,is_published_anchor,is_immune_set,log2FC,t,p,fdr
LY96,False,True,0.44764655,1.1684406202617674,0.28694949841070677,0.6444515480895271
IL10,False,True,0.7778979750000001,1.1392532567028226,0.298028809221044,0.6444515480895271
NLRP3,False,True,-0.22699527499999972,-1.087781755469358,0.3184451778076619,0.6444515480895271
S100A9,False,True,0.438441375,1.0801611334532817,0.32156457382072184,0.6444515480895271
CXCL9,False,True,-0.013490999999999698,-1.071455895083858,0.3251587589593241,0.6444515480895271
NFKBIA,False,True,0.3351398749999994,1.0701717784780365,0.32569172844467154,0.644823588153885
IFNG,False,True,0.6078904750000005,1.0631652651130734,0.32861242160685594,0.6465225469036435
TLR8,False,True,-0.6948375749999993,-1.047003587345574,0.33543133422154003,0.6519259644441245
IL1RAP,False,True,-0.2967611750000003,-0.9872390402658937,0.3616490835356544,0.6701136738970087
CXCL1,False,True,0.8572022749999988,0.9580293450601159,0.37504307611938886,0.6779968075811852
TNFAIP3,False,True,-0.1899286,-0.9011533567801819,0.40222877038891064,0.6956273362490573
ITGAM,False,True,-0.1156814000000006,-0.8918206581355044,0.4068298186723843,0.6984902223657162
IKBKE,False,True,-0.29852342499999995,-0.8780521632972622,0.413690070661498,0.7032631607475552
NFKBIZ,False,True,0.24471805000000035,0.8678466794342206,0.4188307015523473,0.7057350780337759
CXCL10,False,True,0.3557680000000012,0.8573102456792837,0.4241877775399725,0.7092052570105083
CD14,False,True,-0.14170645000000004,-0.8131002748484375,0.4472161376480254,0.7246181625934683
STAT3,False,True,0.5151370999999996,0.795970078707434,0.4563775721944575,0.7307257830342692
HLA-DRB1,False,True,-0.2842129999999994,-0.7843002394188071,0.4626947982182852,0.7347831111364119
NFKB2,False,True,0.1055407749999997,0.7642002613253781,0.47371955441806096,0.741781922024253
SOCS1,False,True,0.16161197499999957,0.7418947712784094,0.4861664615586595,0.7504106567804874
PTGS2,False,True,0.9539069999999974,0.7415131810587682,0.4863813330255664,0.7505613960663059
BCL3,False,True,-0.10231875000000201,-0.736115570517979,0.4894276565657056,0.7525070051278536
IL1A,False,True,0.05214160000000012,0.7242133367504472,0.4961909131267854,0.7569602126274834
IRAK4,False,True,-0.25783920000000027,-0.7195853559799221,0.49883767231247045,0.7585763082567216
FOS,False,True,0.4940775000000013,0.6809222984001666,0.5213179774196286,0.7710283769379164
LYZ,False,True,-0.27243825000000044,-0.6232657787524428,0.556044985120575,0.792544948736391
S100A8,False,True,0.21660599999999874,0.6172590383129354,0.5597440825145251,0.7946489252770517
IRAK1,False,True,0.21017750000000213,0.5924217692298627,0.5751987567194032,0.8043774083920547
S100A12,False,True,0.36342050000000015,0.5902057850626364,0.5765899801944884,0.8052175989107314
IL6ST,False,True,-0.1278235750000003,-0.4985980248888299,0.6358106483556655,0.8380726498438252
TRAF6,False,True,0.08935824999999831,0.4955020280353726,0.6378683900050135,0.8391565763452971
IL1R1,False,True,-0.12965475000000026,-0.4594320515462266,0.662099269720558,0.8511734680861356
CCL2,False,True,0.3380938999999996,0.4294228798026288,0.6826077822925747,0.8611655286654198
IRF1,False,True,-0.10373184999999996,-0.4087568171766764,0.6969072626918033,0.8684108075643453
TLR2,False,True,-0.10349165000000049,-0.40542426532593484,0.6992261935670586,0.8697204234661552
STAT1,False,True,-0.1144614999999991,-0.4017169629270496,0.7018100744194736,0.8706762773017451
TLR1,False,True,0.17446625000000004,0.3908836705640316,0.7093855215655425,0.8747832572740344
MYC,False,True,0.1086810000000007,0.37745619181095863,0.7188257022574404,0.8796759874258611
CASP1,False,True,0.06702475000000163,0.3446032969865759,0.7421502940636562,0.8910176719193605
IL1B,False,True,0.20441439999999922,0.3262864964516232,0.7552882256886305,0.8966571659141067
IKBKB,False,True,-0.09691275000000132,-0.3250852974540177,0.7561530012521208,0.89710893076649
ITGAX,False,True,-0.014030000000001763,-0.24925092677001798,0.8114800085071024,0.9216718586424012
IL1RN,False,True,-0.0333063250000003,-0.18280151408051928,0.8609741553202999,0.9448024668485909
TNFRSF1B,False,True,0.018664874999999803,0.11251146675328541,0.9140877348277471,0.9678704204616861
CXCL2,False,True,0.020039625000000783,0.1058805552287002,0.9191283114249279,0.9697306680313279
TICAM1,False,True,0.02309625000000004,0.0868718814471178,0.9335999820999471,0.9751295723557737
TNF,False,True,-0.005925500000000028,-0.07270766298783932,0.944401929840754,0.9791791289596123
CX3CR1,False,True,-0.01948420000000084,-0.06805603760093883,0.947952315290857,0.9802382320004048
SPI1,False,True,0.001776999999997031,0.02192492753201448,0.9832187919210928,0.9938685984637207
