config,method,celltype,n,mean_pre,mean_post,sd_pre,sd_post,median_delta,wilcoxon_p
cent12CT,CP_nnls_norm,NK,65,0.06812124355541825,0.05967979097358806,0.02474265953860424,0.024082833235321684,-0.008693677612430215,0.004708035686410514
cent12CT,CP_nnls_norm,Neu,65,0.720896502351003,0.772558401164632,0.11216283186467986,0.09939990311743335,0.03251488547994319,0.0006090006578352227
cent12CT,CP_nnls_norm,Treg,65,0.015929053462000634,0.01382886545895625,0.008238674300116794,0.008783779434771488,-0.003505075563271655,0.018909304005210806
cent12CT,CP_penalty_K100,Baso,65,0.013958816140418724,0.010006847691809278,0.008401774728510121,0.008212901798477633,-0.005334435958986711,0.0004995496108499916
cent12CT,CP_penalty_K100,Bmem,65,0.016916152781846362,0.014228078429735669,0.007669000511017952,0.007787823511912039,-0.002647937786005635,0.006625037730004026
cent12CT,CP_penalty_K100,Bnv,65,0.01868267714627233,0.015781225310631117,0.017953787120865875,0.01641626333157984,-0.0021561166299291085,0.13081743422762984
cent12CT,CP_penalty_K100,CD4Tmem,65,0.0565147112092447,0.044517399663094766,0.033283830236501236,0.02816133877313035,-0.009771597069355806,0.0007948240305308491
cent12CT,CP_penalty_K100,CD4Tnv,65,0.012204657132861596,0.012894566302917826,0.016108759635752038,0.014987817871342577,0.0,0.8241384743806146
cent12CT,CP_penalty_K100,CD8Tmem,65,0.03172121971340425,0.022878019539070985,0.030233316537399902,0.0242752116522054,-0.003624121367269393,0.007871355636524647
cent12CT,CP_penalty_K100,CD8Tnv,65,0.003637185700156644,0.003503964900842907,0.006173677362697333,0.005115012201915488,0.0,0.9000525358693964
cent12CT,CP_penalty_K100,Eos,65,0.01107455483508009,0.009498504962344069,0.016445205203251014,0.020324064535597826,0.0,0.05713960419113232
cent12CT,CP_penalty_K100,Mono,65,0.022043898222119707,0.014171829264014469,0.027703708437092307,0.021772212325761056,0.0,0.020253755177481125
cent12CT,CP_penalty_K100,NK,65,0.07619031621757381,0.06788775398374165,0.02525746869371031,0.023907548460106356,-0.010628445563086876,0.004162600757270187
cent12CT,CP_penalty_K100,Neu,65,0.7146433268251928,0.7638951528934556,0.10946287113949028,0.09566969268950068,0.03321198683809856,0.0007550730448429266
cent12CT,CP_penalty_K100,Treg,65,0.02222433194339979,0.02053848336024792,0.00834335812519722,0.009321041590319263,-0.0034997565222148006,0.058509113955192614
cent12CT,CP_penalty_K1000,Baso,65,0.013934500916866457,0.009990860846684772,0.008406256057062833,0.008204877709168373,-0.005393741119768342,0.0005263495788924401
cent12CT,CP_penalty_K1000,Bmem,65,0.016957687810085314,0.014258124839214242,0.007675774775486978,0.0078009140109824675,-0.002664299371623085,0.006897520979453378
cent12CT,CP_penalty_K1000,Bnv,65,0.01862645034261376,0.01573447104187801,0.01795768130128435,0.016406135431218605,-0.002164676526802814,0.13261350919887763
cent12CT,CP_penalty_K1000,CD4Tmem,65,0.05665815323337939,0.04467341483583876,0.033316491443420325,0.028166926988244984,-0.009514235550622044,0.0007753801086341001
cent12CT,CP_penalty_K1000,CD4Tnv,65,0.012092940005675403,0.012758342611099089,0.01604359392776022,0.014924053778629886,0.0,0.8227805212669921
cent12CT,CP_penalty_K1000,CD8Tmem,65,0.03177419791934019,0.022925095636155437,0.03024440952265181,0.02428723996967918,-0.0035930133381315878,0.007871355636524647
cent12CT,CP_penalty_K1000,CD8Tnv,65,0.003650174411163952,0.0035270624088990124,0.006189701229442988,0.005128411524163249,0.0,0.9000525358693964
cent12CT,CP_penalty_K1000,Eos,65,0.011139395870292489,0.00955208029367426,0.01647116177486343,0.020348635006157346,0.0,0.05713960419113232
cent12CT,CP_penalty_K1000,Mono,65,0.02191043155033848,0.01407358570505769,0.02764291743231173,0.0217094194084328,0.0,0.020736608272804644
cent12CT,CP_penalty_K1000,NK,65,0.07627119447394323,0.06796668390771042,0.025268081441869164,0.02391100866180592,-0.010666092624564943,0.004162600757270187
cent12CT,CP_penalty_K1000,Neu,65,0.7146988964079171,0.7639410207612939,0.10945452866208707,0.09565593058930312,0.033222304394071145,0.0007550730448429266
cent12CT,CP_penalty_K1000,Treg,65,0.022284077591569335,0.02059725606146373,0.008347495605547308,0.009325213665438654,-0.0035267260938526054,0.058509113955192614
cent12CT,RPC_irls,Baso,65,0.023448197259638533,0.018551806755963338,0.00944652757513498,0.00970853531934686,-0.003277675392951939,0.0002430141228560712
cent12CT,RPC_irls,Bmem,65,0.02565858109749259,0.022457715286509507,0.007430250123696372,0.009112194472554349,-0.0024017076366928576,0.006888315081760962
cent12CT,RPC_irls,Bnv,65,0.014565611138029384,0.013541953054782604,0.012451612732722417,0.014143257417279622,0.0,0.7684743761882565
cent12CT,RPC_irls,CD4Tmem,65,0.0509013547425927,0.04119706091890401,0.030639726857956927,0.024997445929598287,-0.008776037990987987,0.007325143890380363
cent12CT,RPC_irls,CD4Tnv,65,0.0056478365062382,0.006236720801625168,0.011199106942643408,0.011396235381167769,0.0,0.8371970949247649
cent12CT,RPC_irls,CD8Tmem,65,0.0364607393914803,0.027207050627263068,0.029490851421908618,0.024552415951819416,-0.005329529681899845,0.003196754582294709
cent12CT,RPC_irls,CD8Tnv,65,0.02118996191765092,0.019782913530693006,0.012830441570349823,0.013372442412027962,-0.0014062140867514283,0.24307160952692763
cent12CT,RPC_irls,Eos,65,0.00745663181228227,0.005314975046967877,0.013562442423857754,0.016956591112723473,0.0,0.01044243284850472
cent12CT,RPC_irls,Mono,65,0.01687259618273038,0.00879586324667081,0.023289276049684848,0.015808777570591653,0.0,0.007595698876114317
cent12CT,RPC_irls,NK,65,0.048132303623614064,0.04210550270147381,0.021247440462007775,0.01969388722045552,-0.006914401844553449,0.007449414801426357
cent12CT,RPC_irls,Neu,65,0.7221609282107289,0.769218027975082,0.10589194410812719,0.0909078823220537,0.037412854675680896,0.0007550730448429266
cent12CT,RPC_irls,Treg,65,0.02750421097030079,0.025589267868476616,0.007411979885967943,0.008940522283621737,-0.0024896905539122313,0.08992076056993398
cent12CT450k,CBS_svr_nu0.25,Baso,65,0.0042384374212352735,0.0023166916931166887,0.00811835596471627,0.005496616225175398,0.0,0.07753697663151893
cent12CT450k,CBS_svr_nu0.25,Bmem,65,0.0023316903531780966,0.0038573153522572863,0.004695812717120465,0.0062444772570398165,0.0,0.05254281785706896
cent12CT450k,CBS_svr_nu0.25,Bnv,65,0.020555435119426955,0.01676285201431788,0.01852501702651479,0.019434045192389025,-0.0014965413963410404,0.1080662947156648
cent12CT450k,CBS_svr_nu0.25,CD4Tmem,65,0.030229379572999072,0.020767603952204446,0.03941434980139644,0.03073999566370439,-0.001098298311133833,0.039564435829703266
cent12CT450k,CBS_svr_nu0.25,CD4Tnv,65,0.014135148046228563,0.016938513877060205,0.022028807154494134,0.020693153079809398,0.0,0.3942562432920752
cent12CT450k,CBS_svr_nu0.25,CD8Tmem,65,0.06702231836297673,0.05203875695107154,0.03756047237862611,0.0334052330238819,-0.015983491806141045,0.001651968095054599
cent12CT450k,CBS_svr_nu0.25,CD8Tnv,65,0.005798218698387953,0.003292170286029204,0.010901741572253463,0.00596586505289993,0.0,0.2463199589015289
cent12CT450k,CBS_svr_nu0.25,Eos,65,0.0057448669633108716,0.005467895923332645,0.015080125786761883,0.021267723122105932,0.0,0.26043936484565566
cent12CT450k,CBS_svr_nu0.25,Mono,65,0.04368640790157851,0.033007754346078146,0.032633603447725305,0.030647587724185375,-0.002024833793956335,0.011648964178502178
cent12CT450k,CBS_svr_nu0.25,NK,65,0.05211452883706397,0.04947311608163511,0.02542519739835119,0.02098359697538188,-0.003152750116344971,0.322153210767531
cent12CT450k,CBS_svr_nu0.25,Neu,65,0.7494613430156268,0.7917238782773028,0.1133271243450812,0.0892882606916981,0.023926161235958476,0.0033796119779407234
cent12CT450k,CBS_svr_nu0.25,Treg,65,0.004682225707987181,0.004353451245594005,0.009683967724698784,0.010232529918705222,0.0,0.5847125558503574
cent12CT450k,CBS_svr_nu0.5,Baso,65,0.004860521969868573,0.004479942110120414,0.007325688537098862,0.006515820429224073,0.0,0.7368464093078719
cent12CT450k,CBS_svr_nu0.5,Bmem,65,0.0002287496231693672,0.000843013262506595,0.0009960723411864946,0.0025014125007368484,0.0,0.046399461870904636
cent12CT450k,CBS_svr_nu0.5,Bnv,65,0.01843553962371066,0.01541109468782096,0.01603270951799041,0.01518435319358907,0.0,0.19746090053121557
