term,perturbagen,cell_line,time,dose,n_up,n_down,k_downNdisUP,k_upNdisDOWN,p_rev_up,p_rev_down,or_rev_up,or_rev_down,reversal_score,mimic_score,net_score,p_combined,directional,fdr,z_vs_null,emp_p,library
MOCOS,mocos,,,,248,245,3,2,0.08461079867902582,0.21467107008667716,3.0683493410766136,2.402570154733805,1.740800684275145,3.1042035274862747,-1.3634028432111298,0.09096896795653177,True,0.18915440556449553,2.377701261588138,0.03332222592469177,crispr_ko
MOG,mog,,,,247,245,3,1,0.08461079867902582,0.5837448770356795,3.0683493410766136,1.163744918699187,1.3063511232229486,0.8602048681641116,0.446146255058837,0.19795885053575804,True,0.3361598582797806,1.5131107686654712,0.0696434521826058,crispr_ko
MOK,mok,,,,245,245,0,1,1.0,0.5807407491969634,0.0,1.1735399590163935,0.23601769948676335,0.23601769948676335,0.0,0.8963447951498678,True,0.9390241936194845,-0.6169411070423585,0.647784071976008,crispr_ko
MON1A,mon1a,,,,238,248,2,1,0.2831876279456489,0.57005983766948,1.9584937954642705,1.2091244725738397,0.792005279454855,0.805561848326135,-0.013556568871279984,0.4558343542823383,True,0.5754780024749325,0.48952007721866053,0.2485838053982006,crispr_ko
MORN1,morn1,,,,247,243,3,1,0.08301871988979877,0.5837448770356795,3.0945945945945947,1.163744918699187,1.3146008853174131,1.4668032346897264,-0.15220234937231325,0.19515452728599525,True,0.3361598582797806,1.5295284763010208,0.06431189603465512,crispr_ko
MORN2,morn2,,,,239,246,1,1,0.6529937194772887,0.5716016791557766,0.9581371009942439,1.2039128151260505,0.42799749985005864,2.367293457812414,-1.9392959579623552,0.7410927020819241,True,0.8077100203612863,-0.2348854552302146,0.4488503832055981,crispr_ko
MOS,mos,,,,244,246,1,3,0.6529937194772887,0.052679760410430335,0.9581371009942439,3.8033195020746886,1.4634472046622442,2.4583189085853108,-0.9948717039230666,0.15031612848481737,True,0.2799030485294036,1.8257449399576864,0.046317894035321557,crispr_ko
MPEG1,mpeg1,,,,241,244,1,2,0.6499549837701145,0.20566579022415815,0.9662340403081143,2.4748279119989203,0.8739546632073327,0.8024006842440687,0.07155397896326399,0.40267204945371854,True,0.5568985299552306,0.6526061163014599,0.16061312895701432,crispr_ko
MPIG6B,mpig6b,,,,244,249,2,2,0.28476943222922063,0.2095196047577794,1.9503515874707011,2.443348440415889,1.2242819644927945,2.4583189085853108,-1.2340369440925163,0.2278605901438044,True,0.34157050579213477,1.3497863674889499,0.1169610129956681,crispr_ko
MPL,mpl,,,,241,240,1,1,0.6437994787800196,0.5746692931650028,0.9828344598219075,1.1936197916666667,0.43183138755943573,3.558515577692916,-3.1266841901334805,0.7378452936076729,True,0.8077100203612863,-0.22725570217802482,0.4445184938353882,crispr_ko
MPP1,mpp1,,,,246,248,0,3,1.0,0.053739796671393524,0.0,3.77119341563786,1.269703981085933,0.7854720898033836,0.4842318912825494,0.21085354464578615,True,0.33814625623370465,1.44017993037043,0.08997000999666778,crispr_ko
MPP3,mpp3,,,,248,243,6,3,0.0005038316302547722,0.05481026166252702,6.822784810126582,3.739591836734694,4.558852695842892,0.18309170525038723,4.375760990592505,0.00031749534363525805,True,0.006025865356929482,7.985857411780095,0.0003332222592469177,crispr_ko
MPP4,mpp4,,,,243,248,2,1,0.2831876279456489,0.5777156020537463,1.9584937954642705,1.1834969008264462,0.786211627803498,0.8563661239258809,-0.07015449612238289,0.45977358732933593,True,0.5754780024749325,0.47799023213160985,0.2729090303232256,crispr_ko
MPP5,mpp5,,,,246,247,5,1,0.0036678346599069577,0.582245431663141,5.406139315230225,1.1686224489795918,2.6704841601418585,2.171690476151487,0.4987936839903715,0.015267297583803543,True,0.06173247091294341,4.227848129535116,0.004665111629456847,crispr_ko
MPP6,mpp6,,,,247,248,6,0,0.000561246753228489,1.0,6.678172095284395,0.0,3.250846158343239,0.23266666402518166,3.0181794943180575,0.0047623750835255815,True,0.0289970781954852,5.382816418335459,0.001999333555481506,crispr_ko
MPPED2,mpped2,,,,247,246,2,1,0.28002356105637266,0.5837448770356795,1.9749784296807593,1.163744918699187,0.7865823435700259,2.372639860672755,-1.586057517102729,0.4595208221257594,True,0.5754780024749325,0.47872798711182046,0.2702432522492503,crispr_ko
MPV17,mpv17,,,,245,247,4,1,0.019990915721918367,0.5807407491969634,4.187014174668495,1.1735399590163935,1.935185011228205,1.0725742054311245,0.8626108057970805,0.06334081278124948,True,0.15367927038777102,2.7645421198220705,0.021992669110296566,crispr_ko
