perturbagen,n_signatures,n_cell_lines,median_net,max_net,min_fdr,median_z,frac_directional,n_sig_fdr05,rank_percentile
dpysl2,1,1,0.8017044622233636,0.8017044622233636,0.07598112400591284,3.962120242146887,1.0,0,67.38963531669866
gabrr3,1,1,0.7971661134091659,0.7971661134091659,0.006448411967541589,7.593757319286631,1.0,1,67.37044145873321
ca12,1,1,0.7956970963231371,0.7956970963231371,0.039742807262220466,4.89156557983621,1.0,1,67.35124760076776
adh5,1,1,0.7910913293215197,0.7910913293215197,0.5754780024749325,0.48770124100123335,1.0,0,67.33205374280232
fam89b,1,1,0.790786897383037,0.790786897383037,0.1468947194424675,2.952066637037094,1.0,0,67.31285988483685
arhgap24,1,1,0.7899537698775223,0.7899537698775223,0.5754780024749325,0.48543740379529265,1.0,0,67.2936660268714
emp1,1,1,0.7876993360618616,0.7876993360618616,0.5754780024749325,0.4809508943850336,1.0,0,67.27447216890596
ackr3,1,1,0.7823605975554729,0.7823605975554729,0.2799030485294036,1.8211453153559582,1.0,0,67.2552783109405
il6r,1,1,0.781677447209836,0.781677447209836,0.03558813254667929,5.130737493575022,1.0,1,67.23608445297504
pole,1,1,0.7816752056571836,0.7816752056571836,0.00024203615290208072,12.816033148368383,1.0,1,67.21689059500959
oxsr1,1,1,0.7763953350898983,0.7763953350898983,0.2799030485294036,1.8145933561445633,1.0,0,67.19769673704414
gpr18,1,1,0.7655649072905905,0.7655649072905905,0.3361598582797806,1.5273189796472646,1.0,0,67.17850287907869
smkr1,1,1,0.7630372026021383,0.7630372026021383,0.3361598582797806,1.5467761956111452,1.0,0,67.15930902111324
ephb3,1,1,0.7605617007896803,0.7605617007896803,0.17803072385852106,2.521160486463245,1.0,0,67.1401151631478
il17rc,1,1,0.7574395909558271,0.7574395909558271,0.3361598582797806,1.5257572139231181,1.0,0,67.12092130518235
lysmd1,1,1,0.7574395909558271,0.7574395909558271,0.3361598582797806,1.5257572139231181,1.0,0,67.1017274472169
dkc1,1,1,0.7567112704401204,0.7567112704401204,0.17747313058285114,2.5537933018170382,1.0,0,67.08253358925145
scn1b,1,1,0.756095244522575,0.756095244522575,0.3361598582797806,1.528007290043632,1.0,0,67.06333973128599
lyar,1,1,0.7553666026863779,0.7553666026863779,0.17587233617477538,2.5924914730072555,1.0,0,67.04414587332053
fcer2,1,1,0.7533256386627918,0.7533256386627918,0.3361598582797806,1.5175701092284297,1.0,0,67.02495201535508
cyp11a1,1,1,0.7533256386627918,0.7533256386627918,0.3361598582797806,1.5175701092284297,1.0,0,67.00575815738962
cd1c,1,1,0.7520266686132304,0.7520266686132304,0.17747313058285114,2.552657662134111,1.0,0,66.98656429942417
cyth1,1,1,0.7513578098433502,0.7513578098433502,0.17773938862037894,2.526894323922531,1.0,0,66.96737044145873
rnasel,1,1,0.7478294527957023,0.7478294527957023,0.3361598582797806,1.4968656193189627,1.0,0,66.94817658349328
plau,1,1,0.7444688238921771,0.7444688238921771,0.03587908184765722,5.105220278269633,1.0,1,66.92898272552783
celsr3,1,1,0.7422633860918761,0.7422633860918761,0.0282312226828028,5.495009015577234,1.0,1,66.90978886756238
vstm2l,1,1,0.739830492908379,0.739830492908379,0.0282312226828028,5.495009015577234,1.0,1,66.89059500959694
clk4,1,1,0.7384170815166012,0.7384170815166012,0.3361598582797806,1.4977801221115963,1.0,0,66.87140115163149
pcsk9,1,1,0.7381345750678927,0.7381345750678927,0.1126171282656272,3.2835420979860563,1.0,0,66.85220729366603
rbm6,1,1,0.7373716188646602,0.7373716188646602,0.15367927038777102,2.8537614163769893,1.0,0,66.83301343570058
nmb,1,1,0.7332719888469077,0.7332719888469077,0.03587908184765722,5.100655827752974,1.0,1,66.81381957773512
vps45,1,1,0.7306755240316232,0.7306755240316232,0.028520502728782236,5.457257550367529,1.0,1,66.79462571976967
