perturbagen,n_signatures,n_cell_lines,median_net,max_net,min_fdr,median_z,frac_directional,n_sig_fdr05,rank_percentile
aldh3a1,1,1,-0.5946631130623528,-0.5946631130623528,0.8671174995425561,-0.19300278064443518,1.0,0,29.078694817658345
mast3,1,1,-0.5947196972827974,-0.5947196972827974,0.8671174995425561,-0.20834100575156497,1.0,0,29.059500959692897
asna1,1,1,-0.5968283459386396,-0.5968283459386396,0.8671174995425561,-0.18554293090813045,1.0,0,29.040307101727446
arhgap27,1,1,-0.5980528646285178,-0.5980528646285178,0.8671174995425561,-0.29897200885992564,1.0,0,29.021113243762
smarca1,1,1,-0.5983663064395451,-0.5983663064395451,0.9959914592564945,-1.1516090316636878,0.0,0,29.001919385796548
ube2e2,1,1,-0.5986161188026936,-0.5986161188026936,0.9530678766884607,-0.7652446352249465,0.0,0,28.9827255278311
rdh14,1,1,-0.5986161188026936,-0.5986161188026936,0.9530678766884607,-0.7652446352249465,0.0,0,28.963531669865638
map3k6,1,1,-0.5986464352034169,-0.5986464352034169,0.9959914592564945,-1.1223458562101594,0.0,0,28.94433781190019
rdh11,1,1,-0.5987695721081294,-0.5987695721081294,0.6662262231966227,1.181084444907368,1.0,0,28.92514395393474
nrg1,1,1,-0.5995642535996821,-0.5995642535996821,0.9530678766884607,-0.7520231016377379,0.0,0,28.905950095969292
lyn,1,1,-0.6011057380351419,-0.6011057380351419,0.9530678766884607,-0.7769720458431651,0.0,0,28.88675623800384
ppp1r14b,1,1,-0.6012650869377465,-0.6012650869377465,0.9530678766884607,-0.7489581913768976,0.0,0,28.867562380038393
aco1,1,1,-0.6018565949067529,-0.6018565949067529,0.9248014346238744,-0.48444003773670774,1.0,0,28.84836852207293
card8,1,1,-0.6019320138814772,-0.6019320138814772,0.8468653944187763,0.0070686295978153795,1.0,0,28.829174664107484
stim1,1,1,-0.6039905252279867,-0.6039905252279867,0.8211282259723679,0.08984906866299128,1.0,0,28.809980806142033
tiprl,1,1,-0.604315336224943,-0.604315336224943,0.8671174995425561,-0.1970312986812682,1.0,0,28.79078694817658
gsta5,1,1,-0.6044356275302956,-0.6044356275302956,0.9530678766884607,-0.7707271929772268,0.0,0,28.771593090211134
ccdc86,1,1,-0.6050557603099292,-0.6050557603099292,0.9812779493843602,-0.9799105210314435,0.0,0,28.752399232245686
lrrc37a2,1,1,-0.6050564999332927,-0.6050564999332927,0.9530678766884607,-0.7736136305269035,0.0,0,28.733205374280235
glrx,1,1,-0.6052545933875831,-0.6052545933875831,0.8468653944187763,-0.04257320691255842,1.0,0,28.714011516314773
hdac7,1,1,-0.6052545933875831,-0.6052545933875831,0.8468653944187763,-0.04257320691255842,1.0,0,28.694817658349326
fyb1,1,1,-0.6056754227589805,-0.6056754227589805,0.7280004351846168,0.7009224470366716,1.0,0,28.675623800383875
enpep,1,1,-0.6060149922283169,-0.6060149922283169,0.9248014346238744,-0.47074895851970505,1.0,0,28.656429942418427
ppp4r3a,1,1,-0.6062226587272694,-0.6062226587272694,0.7723586828749348,0.39610366037996936,1.0,0,28.637236084452976
stat5a,1,1,-0.6064586420803679,-0.6064586420803679,0.9812779493843602,-0.9856663789772344,0.0,0,28.61804222648753
slc5a1,1,1,-0.6064917034348452,-0.6064917034348452,0.8468653944187763,-0.024585848703683973,1.0,0,28.598848368522077
dph5,1,1,-0.6066907284996157,-0.6066907284996157,0.7723586828749348,0.4222704270040385,1.0,0,28.57965451055662
sucnr1,1,1,-0.6069236510919851,-0.6069236510919851,0.9959914592564945,-1.1342308441437614,0.0,0,28.560460652591168
bckdk,1,1,-0.6095711030603126,-0.6095711030603126,0.9818932873560934,-0.9967964988642634,0.0,0,28.54126679462572
kat8,1,1,-0.6103070902154104,-0.6103070902154104,0.9533047331753944,-0.7804263637339344,0.0,0,28.52207293666027
cdc42bpb,1,1,-0.6107334601922632,-0.6107334601922632,0.8671174995425561,-0.27094752142373324,1.0,0,28.50287907869482
ifna8,1,1,-0.6111738111527129,-0.6111738111527129,0.9474613233260033,-0.6709272382298819,1.0,0,28.48368522072937
hapln3,1,1,-0.6116180277761467,-0.6116180277761467,0.9530678766884607,-0.7752772902153092,0.0,0,28.464491362763912
cd3e,1,1,-0.6141668694695945,-0.6141668694695945,0.8671174995425561,-0.17936484701077193,1.0,0,28.44529750479846
adar,1,1,-0.6143216331403347,-0.6143216331403347,0.6045674769817553,1.6876859971744975,1.0,0,28.426103646833013
kdm1a,1,1,-0.6186500766965186,-0.6186500766965186,0.974671533637781,-0.8381126078400736,0.0,0,28.406909788867562
uncx,1,1,-0.6203526886438369,-0.6203526886438369,0.6995994667070269,0.8560868086124479,1.0,0,28.387715930902115
rhce,1,1,-0.6206940562955549,-0.6206940562955549,0.7723586828749348,0.3874440277451968,1.0,0,28.368522072936663
prdm2,1,1,-0.6208488868044335,-0.6208488868044335,0.8468653944187763,-0.032273037437485615,1.0,0,28.349328214971216
nudt1,1,1,-0.6208517327140004,-0.6208517327140004,0.9530678766884607,-0.7764703279645218,0.0,0,28.330134357005754
plce1,1,1,-0.6230057151361919,-0.6230057151361919,0.7723586828749348,0.43000099717811424,1.0,0,28.310940499040306
brsk2,1,1,-0.6233772328256955,-0.6233772328256955,0.9530678766884607,-0.7055407537306854,1.0,0,28.291746641074855
flt3,1,1,-0.6242030425200861,-0.6242030425200861,0.7723586828749348,0.4441600325026067,1.0,0,28.272552783109404
acsm2b,1,1,-0.6249279547955917,-0.6249279547955917,0.6736308097684284,1.1190377955914619,1.0,0,28.253358925143957
dnmt3b,1,1,-0.6259499041546386,-0.6259499041546386,0.7723586828749348,0.3681079710937448,1.0,0,28.23416506717851
nsdhl,1,1,-0.6262740273850372,-0.6262740273850372,0.9248014346238744,-0.47035042776225566,1.0,0,28.214971209213047
acvr1c,1,1,-0.6265461592201678,-0.6265461592201678,0.8196542026128145,0.13368421371925315,1.0,0,28.195777351247596
nefm,1,1,-0.6280513451280605,-0.6280513451280605,0.9474613233260033,-0.672229939307896,1.0,0,28.17658349328215
mtor,1,1,-0.6284264076579249,-0.6284264076579249,0.571391630703103,2.0595661025932324,1.0,0,28.157389635316697
wrap53,1,1,-0.6285423791026143,-0.6285423791026143,0.6662262231966227,1.2471334171664405,1.0,0,28.13819577735125
fn1,1,1,-0.6294244129870987,-0.6294244129870987,0.8468653944187763,-0.0525089374022256,1.0,0,28.1190019193858
ephb2,1,1,-0.6294301887155513,-0.6294301887155513,0.7723586828749348,0.2799879717836752,1.0,0,28.09980806142035
acta1,1,1,-0.6294376997808494,-0.6294376997808494,0.8468653944187763,0.017892754427614337,1.0,0,28.08061420345489
rab3ip,1,1,-0.6295392620151217,-0.6295392620151217,0.8468653944187763,-0.014215771772670048,1.0,0,28.06142034548944
gpx1,1,1,-0.6297243780819075,-0.6297243780819075,0.952426242738191,-0.6936568940699929,1.0,0,28.04222648752399
tuba4a,1,1,-0.6299413303364734,-0.6299413303364734,0.7280004351846168,0.7089975736921179,1.0,0,28.023032629558543
tnfsf11,1,1,-0.6304278364247713,-0.6304278364247713,0.6995994667070269,0.930633128592035,1.0,0,28.00383877159309
ifi27,1,1,-0.6331841311004842,-0.6331841311004842,0.9525852693082268,-0.7002082795040944,1.0,0,27.984644913627644
ch25h,1,1,-0.6338683320389595,-0.6338683320389595,0.6662262231966227,1.2364014293086185,1.0,0,27.965451055662182
htr1e,1,1,-0.6341704843725844,-0.6341704843725844,0.9530678766884607,-0.7053042357048848,1.0,0,27.946257197696735
