term,perturbagen,cell_line,time,dose,n_up,n_down,k_downNdisUP,k_upNdisDOWN,p_rev_up,p_rev_down,or_rev_up,or_rev_down,reversal_score,mimic_score,net_score,p_combined,directional,fdr,z_vs_null,emp_p,library
CPC005 MCF7 24H-periplocymarin-10.0,periplocymarin,MCF7,24H,10.0,156,86,2,3,0.297433088726244,0.6707320596528714,1.8773809523809524,0.871632106079842,0.7000616536489132,0.22740286640285326,0.4726587872460599,0.5210788661564312,True,1.0,0.388341553172808,0.271242919026991,chem
CPC005 MCF7 24H-quinacrine dihydrochloride dihydrate-10.0,quinacrine dihydrochloride dihydrate,MCF7,24H,10.0,62,89,0,4,1.0,0.04650756461852421,0.0,3.135432283858071,1.3324764018436426,0.23239193347812376,1.1000844683655189,0.18919929786326528,True,1.0,1.6012836103446946,0.08063978673775409,chem
CPC005 MCF7 24H-calyculin a-10.0,calyculin a,MCF7,24H,10.0,64,64,1,0,0.5594916574926359,1.0,1.2402508328434254,0.0,0.2522063847959085,0.2522063847959085,0.0,0.8844033801590154,True,1.0,-0.47062401122697395,0.5994668443852049,chem
CPC005 MCF7 24H-trimeprazine tartrate-10.0,trimeprazine tartrate,MCF7,24H,10.0,21,6,0,1,1.0,0.3727858656135989,0.0,2.2382978723404254,0.4285405625261831,-0.0,0.4285405625261831,0.7406327326789057,True,1.0,-0.13242326417542877,0.45684771742752417,chem
CPC005 MCF7 24H-bntx maleate-10.0,bntx maleate,MCF7,24H,10.0,122,104,2,3,0.3808686279232279,0.5038615951497613,1.5416666666666667,1.126836346049211,0.7169135413759802,0.10130642312064184,0.6156071182553383,0.508693226766777,True,1.0,0.4206626896188614,0.26257914028657114,chem
CPC005 MCF7 24H-ca-074-me-10.0,ca-074-me,MCF7,24H,10.0,45,14,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-helveticoside-10.0,helveticoside,MCF7,24H,10.0,88,53,2,2,0.14467862906812226,0.5794175992733966,3.1083333333333334,1.0375415282392026,1.0766039327758363,0.3289562731353552,0.7476476596404811,0.2916399542505978,True,1.0,1.1105321218781556,0.13095634788403865,chem
CPC005 MCF7 24H-lasalocid sodium-10.0,lasalocid sodium,MCF7,24H,10.0,20,10,0,1,1.0,0.35867553496041954,0.0,2.356476297125793,0.44529824527564915,-0.0,0.44529824527564915,0.7264388683586092,True,1.0,-0.10028280849251912,0.4428523825391536,chem
CPC005 MCF7 24H-wortmannin-10.0,wortmannin,MCF7,24H,10.0,20,30,0,2,1.0,0.07016587541465566,0.0,5.011111111111111,1.1538740520062138,0.31275831829660106,0.8411157337096128,0.2565891120684154,True,1.0,1.2587326147426139,0.11196267910696435,chem
CPC005 MCF7 24H-doxorubicin hydrochloride-10.0,doxorubicin hydrochloride,MCF7,24H,10.0,45,72,1,1,0.6026281819919359,0.6326557707753426,1.099113197704747,1.0135396518375241,0.41878308853016455,-0.0,0.41878308853016455,0.7488953320284113,True,1.0,-0.15113764522886952,0.46217927357547484,chem
