gene,chrom,n_snps,min_p,score
LAMA5-AS1,20,173,0.031268,1.5048998967149196
LAMB1,7,355,0.00758613,2.1199797192658547
LAMB2,3,70,0.0149001,1.8268108168694404
LAMB2P1,3,56,0.0045368,2.343250365722058
LAMB3,1,314,0.00175695,2.755240597658419
LAMB4,7,448,0.00372169,2.4292598044713247
LAMC1,1,752,0.0259615,1.5856702185395022
LAMC1-AS1,1,162,0.0259615,1.5856702185395022
LAMC2,1,398,0.0123072,1.9098407417776329
LAMC3,9,586,0.0190217,1.720750672065971
LAMP1,13,86,0.0299495,1.523610423660431
LAMP3,3,338,0.0172298,1.7637197637243742
LAMP5,20,172,0.00537205,2.2698599538173503
LAMP5-AS1,20,145,0.00537205,2.2698599538173503
LAMTOR1,11,86,0.00532476,2.2736999621661425
LAMTOR2,1,53,0.0462083,1.3352800088498318
LAMTOR3,4,96,0.00711836,2.147620052007933
LAMTOR4,7,69,0.0147089,1.8324198046207267
LAMTOR5,1,92,0.000924932,3.033890194947804
LAMTOR5-AS1,1,100,0.000924932,3.033890194947804
LANCL1,2,281,0.00849689,2.0707400040491866
LANCL1-AS1,2,640,0.00835988,2.0777999564978096
LANCL2,7,397,0.00249523,2.6028894167231256
LAP3,4,237,0.008163,2.0881502035005797
LAPTM4A,2,177,0.00142922,2.8449009150634517
LAPTM4B,8,627,0.00171419,2.7659410427521567
LAPTM5,1,141,0.00583123,2.2342398284536107
LARGE-AS1,22,250,0.0264734,1.5771902783278973
LARGE1,22,3457,0.00100085,2.9996310064904166
LARGE2,11,80,0.00628985,2.2013597114623713
LARP1,5,587,0.00955608,2.019720223152683
LARP1B,4,681,0.00486743,2.3127002854848353
LARP4,12,259,0.000523805,3.2808303603169615
LARP4B,10,551,0.010826,1.9655319772449575
LARP6,15,151,0.0553376,1.2569796802033564
LARP7,4,138,0.0153402,1.8141689781751629
LARS1,5,482,0.00536921,2.2700896096226
LARS2,3,693,0.00110141,2.9580509847594905
LARS2-AS1,3,174,0.00110141,2.9580509847594905
LASP1,17,320,0.00606918,2.2168699819942086
LASTR,10,218,0.00746569,2.126930047370405
LAT,16,86,0.00564144,2.248610026472107
LAT2,7,81,0.00736631,2.1327500084709956
LATS1,6,203,0.00375275,2.42565036637212
LATS2,13,502,0.0113232,1.9460308217388174
LAX1,1,153,0.00779866,2.1079800132838638
LAYN,11,109,0.0267516,1.5726502379272134
LBH,2,207,0.0136845,1.8637710660805242
LBHD1,11,100,0.0143589,1.8428788290511178
LBHD2,14,159,0.039423,1.4042503299837388
LBP,20,286,0.00202404,2.6937809090221494
LBR,1,196,0.000339774,3.468809857040091
LBX1,10,56,0.0402884,1.3948199796944916
LBX1-AS1,10,84,0.0301933,1.5200894178325624
LBX2,2,79,0.000997631,3.001030064221011
LBX2-AS1,2,63,0.00100094,2.9995919549381584
LCA5,6,255,0.000264198,3.578070474353026
LCA5L,21,237,0.00379385,2.420919844101044
LCAL1,6,76,0.050789,1.2942303380427815
LCAT,16,63,0.0419527,1.3772400835273602
LCE1A,1,139,0.0123569,1.9080904679005906
LCE1B,1,103,0.0123569,1.9080904679005906
LCE1C,1,100,0.0221498,1.654630190853486
LCE1D,1,109,0.0221498,1.654630190853486
LCE1E,1,98,0.0221498,1.654630190853486
LCE1F,1,81,0.0454036,1.342909711060281
LCE2A,1,102,0.000880603,3.0552198393384207
LCE2B,1,111,0.0404297,1.3932994812443114
LCE2C,1,79,0.044413,1.3524898902030125
LCE2D,1,86,0.0361343,1.4420803540933933
LCE3A,1,133,0.0674606,1.1709498004796022
LCE3B,1,82,0.0567688,1.2458902859557817
LCE3C,1,3,0.156868,0.8044656404845371
LCE3D,1,40,0.0191073,1.7188006775679767
LCE3E,1,69,0.0191073,1.7188006775679767
LCE4A,1,78,0.000880603,3.0552198393384207
LCE5A,1,94,0.010478,1.9797216058880727
LCE6A,1,193,0.0432952,1.3635602498144423
LCK,1,136,0.00156762,2.8047592043453577
LCLAT1,2,1084,0.00507879,2.2942397441957576
LCMT1,16,236,0.0076461,2.116560026332137
LCMT1-AS1,16,87,0.025537,1.5928301235162947
LCMT1-AS2,16,81,0.00949183,2.0226500486598264
LCMT2,15,88,0.00403915,2.3937100183421047
LCN1,9,149,0.000313372,3.5039398106394137
LCN10,9,114,0.0516607,1.2868397134534935
LCN12,9,132,0.0255482,1.5926396926958124
LCN15,9,136,0.0363153,1.4399103637893431
LCN2,9,72,0.0314463,1.5024304466929053
LCN6,9,129,0.0560906,1.2511099143264532
LCN8,9,130,0.0363153,1.4399103637893431
LCN9,9,154,0.0356763,1.4476201927742123
LCNL1,9,85,0.0307107,1.5127102844142204
LCOR,10,428,0.00170302,2.768780251721113
LCORL,4,702,0.0129375,1.888149637199007
LCP1,13,345,0.0067163,2.1728699132733125
LCP2,5,242,0.0076164,2.1182502556384186
LCT,2,221,0.00424717,2.3719003553068676
LCT-AS1,2,82,0.0937907,1.0278402228034462
LCTL,15,204,0.00179991,2.7447492101636755
LDAH,2,540,1.59463e-05,4.7973400697222175
LDB1,10,100,0.00438208,2.358319698148794
LDB2,4,1706,0.000825163,3.0834602538642844
LDB3,10,533,0.0081027,2.0913702404161603
LDC1P,1,143,0.0330674,1.4805999511414347
LDHA,11,180,0.00372941,2.4283598689987107
LDHAL6A,11,196,0.000328239,3.483809819143579
LDHAL6B,15,148,0.00232879,2.6328696724585208
LDHB,12,236,0.0107278,1.9694893316987803
LDHC,11,349,0.00372941,2.4283598689987107
LDHD,16,140,0.0340934,1.4673296861395975
LDLR,19,381,0.00203573,2.691279823234035
LDLR-AS1,19,93,0.00203573,2.691279823234035
LDLRAD1,1,170,7.83827e-05,4.105779780728992
LDLRAD2,1,166,0.00393161,2.4054295689803697
