gene,chrom,n_snps,min_p,score
MRC2,17,255,0.000278087,3.5558193130424502
MRE11,11,379,0.0229985,1.638300488459209
MREG,2,647,0.00990946,2.0039500110454997
MRFAP1,4,96,0.00448725,2.3480197337662534
MRFAP1L1,4,73,0.0141586,1.8489796874890287
MRGBP,20,135,0.120914,0.9175234115400532
MRGPRD,11,81,0.0030982,2.508890550394504
MRGPRE,11,214,0.0067761,2.1690201934200104
MRGPRF,11,82,0.00253122,2.596670106665618
MRGPRF-AS1,11,84,0.00291904,2.5347599537751746
MRGPRG,11,146,0.0067761,2.1690201934200104
MRGPRG-AS1,11,175,0.0067761,2.1690201934200104
MRGPRX1,11,126,0.00164721,2.7832510298360935
MRGPRX2,11,161,0.00163799,2.7856887539541573
MRGPRX3,11,165,0.0168174,1.7742411460490437
MRGPRX4,11,126,0.0527363,1.277890343749102
MRI1,19,172,0.0335421,1.4744097506189722
MRLN,10,151,0.0107399,1.9689997623655486
MRM1,17,110,0.00426737,2.3698397002407865
MRM2,7,169,0.0125435,1.9015812658497497
MRM3,17,145,0.0480795,1.3180400574023645
MRNIP,5,244,0.00977597,2.009840139840315
MRO,18,279,0.000400498,3.3973996483466165
MROCKI,6,92,0.070338,1.1528099846302857
MROH1,8,188,0.00994466,2.0024100604679527
MROH2A,2,412,0.00303068,2.518459917004492
MROH2B,5,555,0.0160181,1.7953889993911174
MROH3P,1,243,0.0213138,1.6713391137815161
MROH5,8,609,0.0152627,1.8163686320837664
MROH6,8,168,0.000645639,3.1900102438169227
MROH7,1,462,0.00714365,2.14607983166602
MROH7-TTC4,1,727,6.05913e-05,4.217589729517502
MROH8,20,346,0.0259298,1.586200832988896
MROH9,1,729,0.00821656,2.0853099690429766
MRPL1,4,399,0.0271763,1.5658096719216081
MRPL10,17,146,0.0139936,1.854070544335237
MRPL11,11,51,0.016245,1.7892802843189983
MRPL12,17,139,0.0193121,1.7141704984203099
MRPL13,8,170,0.00626354,2.2031801447555632
MRPL14,6,167,0.0619113,1.208230076670362
MRPL15,8,113,0.00693282,2.159090075442589
MRPL16,11,97,0.0183904,1.7354088245463963
MRPL17,11,122,0.0181639,1.7407908977404465
MRPL18,6,178,0.0162948,1.7879509656332908
MRPL19,2,177,0.0382419,1.4174605384927792
MRPL2,6,98,0.0281054,1.5512102293869992
MRPL20,1,102,0.00275334,2.5601401558400645
MRPL20-AS1,1,85,0.00275334,2.5601401558400645
MRPL21,11,137,0.00674466,2.171039938333897
MRPL22,5,173,0.0202927,1.6926601650371733
MRPL23,11,140,0.00709088,2.149299864192351
MRPL23-AS1,11,167,0.0237361,1.6245906370081717
MRPL24,1,68,0.0762377,1.117830214315896
MRPL27,17,109,0.00342452,2.4654002930650414
MRPL28,16,222,0.0179449,1.7460589574794847
MRPL3,3,194,0.00382419,2.417460538492779
MRPL30,2,133,0.0669484,1.174259797732993
MRPL32,7,108,0.0120623,1.9185698744453707
MRPL33,2,68,0.0134388,1.8716395093064082
MRPL34,19,138,0.00462924,2.3344903029126476
MRPL35,2,147,0.00191223,2.7184598726648206
MRPL36,5,123,0.00624367,2.2045600589994936
MRPL37,1,214,0.0140391,1.8526607324884055
MRPL38,17,104,0.032014,1.4946600593954817
MRPL39,21,211,0.0133119,1.875759953494105
MRPL4,19,99,0.0164187,1.7846612324283415
MRPL40,22,77,0.00494732,2.305629997915669
MRPL41,9,79,0.0969594,1.0134100806519575
MRPL42,12,336,0.00133343,2.875029778183087
MRPL42P5,15,67,0.0570309,1.243889774794877
MRPL43,10,89,0.021357,1.6704597523433362
MRPL44,2,108,0.0255547,1.592529213089074
MRPL45,17,130,0.0271713,1.5658895824389316
MRPL45P2,17,284,0.0313718,1.5034605623465462
MRPL46,15,58,0.0430824,1.36570011136932
MRPL47,3,106,0.00107922,2.966890014958507
MRPL48,11,474,0.00867881,2.0615398192777965
MRPL49,11,58,0.0295311,1.529720375756471
MRPL50,9,125,0.105632,0.9762044973497824
MRPL51,12,139,0.0476639,1.321810425288266
MRPL52,14,125,0.0521123,1.2830597586262709
MRPL53,2,69,0.000132029,3.8793306660919784
MRPL54,19,134,0.0308461,1.5107997378073594
MRPL55,1,47,0.0168873,1.7724397813843156
MRPL57,13,134,0.00734835,2.1338101665403344
MRPL58,17,161,0.00206481,2.685119905144591
MRPL9,1,102,0.0510411,1.292079974592884
MRPS10,6,158,0.0214506,1.6685605555517613
MRPS11,15,67,0.0433461,1.3630499714212974
MRPS12,19,119,0.0280834,1.5515503142113807
MRPS14,1,114,0.0235266,1.6284408313420629
MRPS15,1,159,0.0274555,1.5613706428209793
MRPS16,10,104,0.0178678,1.7479289173700276
MRPS17,7,102,0.00747532,2.1263702115306775
MRPS18A,6,163,0.0178958,1.7472488824754489
MRPS18B,6,138,0.0210538,1.676669506949964
MRPS18C,4,106,0.0273867,1.5624602955347522
MRPS2,9,124,0.00093808,3.027760123159278
MRPS21,1,166,0.015846,1.8000803484094323
MRPS22,3,104,0.0522757,1.281700143032492
MRPS23,17,157,0.00707245,2.150430114185691
MRPS24,7,81,0.0515585,1.2876997261363037
MRPS25,3,143,0.00323862,2.4896400064772157
MRPS26,20,106,0.0100005,1.999978285818755
MRPS27,5,298,0.0117501,1.9299584372847227
MRPS28,8,387,0.00798988,2.097459743305431
MRPS30,5,84,0.0068237,2.1659800749250224
MRPS30-DT,5,204,0.016035,1.7949310357355408
MRPS31,13,220,0.0549705,1.2598703127658797
MRPS31P5,13,119,0.00437059,2.3594599322633
MRPS33,7,107,0.0279094,1.5542494999316512
MRPS34,16,108,0.0233642,1.6314490848101633
MRPS35,12,226,0.024331,1.6138400412723437
MRPS36,5,133,0.0363454,1.4395505471442227
MRPS5,2,86,0.020071,1.697430989063946
MRPS6,21,345,0.00335305,2.4745599704118626
MRPS7,17,107,0.0500207,1.3008502349563726
MRPS9,2,387,0.00283531,2.547399450376319
MRPS9-AS1,2,77,0.00283531,2.547399450376319
MRPS9-AS2,2,513,0.0181046,1.7422110659705152
MRRF,9,181,0.0179635,1.7456090416889813
MRS2,6,377,0.00790606,2.1020398940696943
MRS2P2,12,77,0.058776,1.2307999731636798
MRTFA,22,816,0.00905336,2.043190209895168
MRTFA-AS1,22,72,0.0623075,1.2054596738453232
MRTFB,16,775,0.0158442,1.800129684170536
MRTO4,1,178,0.00195214,2.7094890396164586
MS4A1,11,142,0.0107751,1.967578690610696
MS4A10,11,170,0.000396461,3.4017995279373987
MS4A12,11,255,0.00261132,2.5831399049987045
MS4A13,11,251,0.0117476,1.9300508494109185
MS4A14,11,181,0.00550073,2.259579671608655
MS4A15,11,149,9.65073e-05,4.015439834533833
MS4A18,11,143,9.65073e-05,4.015439834533833
MS4A2,11,147,0.00733567,2.134560213925084
MS4A3,11,169,0.0335475,1.474339838435643
MS4A4A,11,199,0.011205,1.95058813912892
MS4A4E,11,296,0.0152542,1.8166105638128505
MS4A5,11,208,0.0197288,1.704899329812557
MS4A6A,11,129,0.0231297,1.6358300001385682
MS4A6E,11,241,0.0154035,1.8123805870867793
MS4A7,11,136,0.00550073,2.259579671608655
MS4A8,11,87,0.00344596,2.462689768060393
MSANTD1,4,161,0.01096,1.9601894458516498
MSANTD2,11,164,0.0310957,1.50729966227173
MSANTD3,9,189,0.0200946,1.6969206343846983
MSANTD3-TMEFF1,9,608,0.00194044,2.7120997814587624
MSANTD4,11,78,0.0531472,1.2745196108505847
MSC,8,109,0.0156243,1.8061994308125127
MSC-AS1,8,1249,0.00872971,2.0590001832694216
MSGN1,2,159,0.0142416,1.846441216307571
MSH2,2,527,0.00241685,2.6167503029203623
MSH2-OT1,2,71,0.0509671,1.2927100768258095
MSH3,5,1149,0.00552624,2.2575702579623416
MSH4,1,685,0.00806789,2.0932400317184046
MSH5,6,222,0.0399936,1.3980095013487046
MSH5-SAPCD1,6,234,0.0399936,1.3980095013487046
MSH6,2,223,0.000725956,3.139089700975232
MSI1,12,195,0.0101216,1.9947508297643712
MSI2,17,1917,0.0118869,1.924931390833956
MSL1,17,110,0.0191871,1.71699066096915
MSL2,3,169,0.00783791,2.105799727682078
MSL3P1,2,148,0.0144537,1.8400209637107685
MSLN,16,245,0.0202237,1.6941393857093645
MSMB,10,130,0.0108943,1.962800669585132
MSMO1,4,216,0.0349028,1.4571397313281673
MSMP,9,65,0.00192735,2.715039411828087
MSR1,8,718,0.000714233,3.14616008779374
MSRA,8,2541,0.00737768,2.132080185819449
MSRB1,16,142,0.00233507,2.6317000957582293
MSRB2,10,168,0.0179135,1.7468195519408831
MSRB3,12,582,0.00991699,2.0036201246961056
MSS51,10,111,0.0279898,1.5530002047566567
MST1,3,54,0.0249098,1.6036297593862183
MST1L,1,71,0.0256413,1.5910599601004038
MST1P2,1,81,0.049289,1.3072499929405785
MST1R,3,74,0.0135788,1.8671386082886219
MSTN,2,111,0.0152514,1.8166902884898108
MSTO1,1,52,0.00275423,2.559999795538785
MSTO2P,1,355,0.00275423,2.559999795538785
MSX1,4,154,0.00237132,2.625009835791199
MSX2,5,83,0.0454224,1.342729922533287
MSX2P1,17,87,0.00117279,2.9307797457753675
MT1A,16,156,0.0119385,1.9230502362423272
MT1B,16,176,0.0119385,1.9230502362423272
MT1DP,16,183,0.0119385,1.9230502362423272
MT1E,16,152,0.0086838,2.0612901875087983
MT1F,16,189,0.0216411,1.664720668159335
MT1G,16,153,0.0216411,1.664720668159335
MT1H,16,155,0.0216411,1.664720668159335
MT1HL1,1,80,0.150522,0.822400019802125
MT1IP,16,143,0.0263342,1.5794798704283077
MT1JP,16,153,0.0119385,1.9230502362423272
MT1L,16,144,0.0086838,2.0612901875087983
MT1M,16,146,0.0086838,2.0612901875087983
MT1X,16,139,0.0263342,1.5794798704283077
MT2A,16,120,0.0173948,1.7595805602705583
MT3,16,135,0.0120692,1.918321515909283
MT4,16,153,0.00120107,2.9204316805839206
MTA1,14,124,0.000940156,3.026800077976902
MTA2,11,69,0.0669206,1.1744401738734058
MTA3,2,1029,0.00279576,2.5535001130226838
MTAP,9,323,0.00752385,2.1235598713914166
MTARC1,1,380,0.00292685,2.5335995344304254
MTARC2,1,482,0.00292685,2.5335995344304254
MTBP,8,323,0.0101179,1.994909617244392
MTCH1,6,214,0.0262102,1.581529665105861
MTCH2,11,154,0.0143245,1.8439205282457867
MTCL1,18,685,0.00117255,2.930868628987201
MTDH,8,365,0.00148707,2.82766858769983
MTERF1,7,88,0.0120124,1.9203702146931347
MTERF2,12,124,0.0213069,1.6714797323988224
MTERF3,8,104,0.0454779,1.342199597622572
MTERF4,2,278,0.0227217,1.6435591785508368
MTF1,1,212,0.00594689,2.225710094598895
MTF2,1,236,0.019498,1.7100099339456807
MTFMT,15,255,0.00328632,2.483290150131695
MTFP1,22,70,0.0250819,1.600639567990398
MTFR1,8,396,0.00390149,2.4087695018973334
MTFR1L,1,106,7.14924e-05,4.145740123422604
MTFR2,6,60,0.140467,0.8524256928496536
MTG1,10,280,0.00506746,2.2952096707253014
MTG2,20,288,0.014907,1.8266097485348047
MTHFD1,14,355,0.00375154,2.425790418616278
MTHFD1L,6,1451,0.000101878,3.99191958940031
MTHFD2,2,148,0.067694,1.1694498229303354
MTHFD2L,4,553,0.000858776,3.066120101186429
MTHFD2P1,3,217,0.00218701,2.6601492311668027
MTHFR,1,274,0.00202894,2.6927307957730613
MTHFS,15,401,0.0302204,1.5196997915971562
MTHFSD,16,312,0.0267282,1.5730302876478581
MTIF2,2,288,0.0203789,1.6908192617831257
MTIF3,13,176,0.0290864,1.5363100277005157
MTLN,2,61,0.0167436,1.7761511597211963
MTMR10,15,310,0.00662842,2.1785899809552647
MTMR11,1,58,0.00323259,2.4904493748901815
MTMR12,5,445,0.0300767,1.5217698160328834
MTMR14,3,221,0.00356697,2.4477005432798817
MTMR2,11,474,0.00616638,2.209969715610481
MTMR3,22,622,0.0163927,1.7853495089964164
MTMR4,17,141,0.00442751,2.353840449236721
MTMR6,13,162,0.0103098,1.986749759521417
MTMR7,8,932,0.000951853,3.0214301169708517
MTMR9,8,265,0.0199696,1.6996306341544638
MTMR9LP,1,92,0.0337248,1.472050617168406
MTNR1A,4,244,0.000127011,3.8961586646155033
MTNR1B,11,129,0.0136408,1.8651601586093645
MTO1,6,282,0.000592666,3.2271899866059695
MTOR,1,542,0.00581487,2.235459990121044
MTOR-AS1,1,67,0.112479,0.948928553423224
MTPAP,10,216,0.0292099,1.5344699298296864
MTPN,7,374,0.00664707,2.1773697476658085
MTR,1,521,0.0186054,1.730360988586529
MTRES1,6,270,0.00424805,2.371810380204294
MTREX,5,513,0.00332782,2.477840172501768
MTRF1,13,434,0.000195106,3.709729374752975
MTRF1L,6,148,0.0657734,1.181949707736713
MTRNR2L1,17,148,0.0243484,1.613529572190681
MTRNR2L2,5,168,0.0179697,1.7454591732767875
MTRNR2L3,20,131,0.00517929,2.285729771184519
MTRNR2L4,16,125,0.00230139,2.6380097783345016
MTRNR2L5,10,88,0.00471379,2.326629769260294
MTRNR2L6,7,112,0.0119283,1.9234214467929758
MTRNR2L7,10,129,0.0212971,1.6716795298825196
MTRNR2L8,11,121,0.00158347,2.8003901602414705
MTRNR2L9,6,189,0.00542151,2.2658797368316206
MTRR,5,341,0.0129682,1.887120300270384
MTSS1,8,987,0.00672946,2.1720197839824675
MTSS2,16,253,0.00174462,2.7582991531602867
MTTP,4,448,6.79626e-05,4.167730014969946
MTURN,7,207,0.00821997,2.085129767479199
MTUS1,8,1409,0.00508663,2.2935698516751906
MTUS2,13,3448,0.00114818,2.939990022322333
MTUS2-AS1,13,116,0.00855776,2.0676398973493053
MTVR2,17,55,0.0517845,1.2858002126834556
MTX1,1,61,0.0384787,1.414779608992945
MTX2,2,242,0.0128112,1.8924101888369051
MTX3,5,110,0.0280304,1.5523707047173
MUC1,1,63,0.0204743,1.688790937495951
MUC12,7,355,0.00858183,2.0664200927855396
MUC12-AS1,7,73,0.0742609,1.1292397916751014
MUC13,3,265,0.0894252,1.0485400798756743
MUC15,11,204,0.0242237,1.615759520695186
MUC16,19,799,0.00161551,2.791690349357029
MUC17,7,251,0.00866623,2.0621697890605493
MUC19,12,1445,0.00957944,2.0186598783972833
MUC2,11,388,0.0161652,1.7914189178164797
MUC20,3,235,0.00244264,2.612140535291883
MUC21,6,236,0.0218268,1.6610099309977464
MUC22,6,844,0.0227609,1.642810569284615
MUC3A,7,293,0.00858183,2.0664200927855396
MUC4,3,694,0.0151541,1.8194698512224687
MUC5AC,11,265,0.0130464,1.8845093102279373
MUC5B,11,451,5.19541e-05,4.284380174052619
MUC5B-AS1,11,291,0.0028847,2.539899345461155
MUC6,11,193,0.0238281,1.6229105859545485
MUC7,4,401,0.0086892,2.0610202064718095
MUCL1,12,142,0.0116439,1.9339015330197846
MUCL3,6,178,0.0134962,1.8697884945673606
MUL1,1,123,0.00885503,2.0528099631229875
MUS81,11,88,0.00375569,2.4253102622114557
MUSK,9,698,2.08147e-05,4.681629844171078
MUSTN1,3,101,0.0329003,1.482800141936027
MUTYH,1,79,0.00340604,2.4677502560571316
MVB12A,19,243,0.0333043,1.4774996900459199
MVB12B,9,944,0.00154622,2.8107287135299046
MVD,16,192,0.00576806,2.238970230685752
MVK,12,196,0.0107219,1.9697282476284064
MVP,16,92,0.0131674,1.88049997121336
MX1,21,377,0.00235782,2.627489352756874
MX2,21,323,0.00132791,2.8768313585733467
MXD1,2,156,0.00258625,2.587329496326209
MXD3,5,78,0.000962521,3.0165897864068607
MXD4,4,128,0.0157627,1.8023693899766517
MXI1,10,424,0.0132755,1.8769491129469338
MXRA7,17,248,0.0147999,1.8297412190371314
MXRA8,1,209,0.00824499,2.08380986675657
MYADM,19,104,0.0142063,1.8475190184004915
MYADML,2,169,0.000271057,3.5669393726589136
MYADML2,17,105,0.0106331,1.9733401017400007
MYB,6,183,0.00142151,2.8472500807997485
MYBBP1A,17,211,0.00263475,2.5792605868162743
MYBL1,8,179,0.00809245,2.0919199752483646
MYBL2,20,306,0.0035641,2.4480501192145896
MYBPC1,12,700,0.00343052,2.464640044384701
MYBPC2,19,288,0.0101702,1.9926705064634578
MYBPC3,11,183,0.00726223,2.138930000789546
MYBPH,1,136,0.0218409,1.660729469585414
MYBPHL,1,126,0.0251414,1.599610542268766
MYC,8,112,0.0100925,1.996001241917648
MYCBP,1,116,0.0127462,1.894619271309242
MYCBP2,13,845,0.0103808,1.9837691761409755
MYCBP2-AS1,13,89,0.0118438,1.9265089349225346
MYCBPAP,17,207,0.00342184,2.465740301265297
MYCL,1,104,0.0219316,1.6589296836063996
MYCN,2,111,0.0280931,1.5514003348956054
MYCNOS,2,99,0.0280931,1.5514003348956054
MYCNUT,2,148,0.0217896,1.661750742190057
MYCT1,6,266,0.00758752,2.119900151155145
MYD88,3,60,0.00406041,2.3914301113126
MYDGF,19,180,0.0450018,1.3467701147928064
MYEF2,15,22,0.000801586,3.096049876526533
MYEOV,11,118,0.0206476,1.6851304218444396
MYF5,12,61,0.0134159,1.8723801875523918
MYF6,12,68,0.0170212,1.7690098252733397
MYG1,12,66,0.0596348,1.2245002329213126
MYH1,17,109,0.0731964,1.135510278211852
MYH10,17,462,0.00133727,2.8737808981443416
MYH11,16,1014,0.00302106,2.5198406493013135
MYH13,17,427,0.00744441,2.128169716165377
MYH14,19,783,0.0100686,1.9970309122213161
MYH15,3,679,0.00576156,2.2394599110796314
MYH16,7,153,0.00199535,2.6999809146455926
MYH2,17,166,0.0700713,1.1544598251696296
MYH3,17,241,0.0121183,1.9165583003349624
MYH4,17,107,0.0147924,1.8299613579708414
MYH6,14,215,0.00783231,2.106110131646054
MYH7,14,163,0.0169204,1.7715893744093243
MYH7B,20,246,0.00947524,2.023409780900195
MYH8,17,124,0.13645,0.8650264599940847
MYH9,22,576,0.00536636,2.2703201962244295
MYHAS,17,750,0.0130982,1.8827883824953038
MYL1,2,156,0.00830501,2.0806598402815566
MYL10,7,196,0.0237394,1.6245302617917932
MYL12A,18,159,0.013774,1.8609399213506987
MYL12B,18,223,0.0349567,1.4564695725889978
MYL2,12,143,0.0352517,1.4528199344791977
MYL3,3,75,0.00808332,2.092410228144003
MYL4,17,94,0.00529871,2.275829848903524
MYL5,4,111,0.00107721,2.9676996235814883
MYL6,12,39,0.0349036,1.4571297770665081
MYL6B,12,52,0.0349036,1.4571297770665081
MYL7,7,96,0.0135694,1.8674393551737216
MYL9,20,64,0.0559435,1.2522503662959765
MYLIP,6,122,0.012569,1.900699273766537
MYLK,3,946,0.00182844,2.737919286404115
MYLK-AS1,3,289,0.00942649,2.0256499888533694
MYLK-AS2,3,75,0.0445985,1.3506797478501416
MYLK2,20,118,0.0396296,1.4019803111800537
MYLK3,16,152,0.0118894,1.9248400615515395
MYLK4,6,770,0.025909,1.5865493489926756
MYLPF,16,63,0.0351714,1.4538103442172194
MYMK,9,140,0.0505464,1.2963097701582356
MYMX,6,71,0.0110866,1.9552016213562322
MYNN,3,111,0.014717,1.8321807101228682
MYO10,5,1710,0.000121437,3.915648970199739
MYO15A,17,297,0.00500553,2.3005499313936286
MYO15B,17,374,0.0210873,1.6759790233978762
MYO16,13,3429,4.70966e-05,4.327010444347465
MYO16-AS1,13,113,0.0175635,1.7553889349434078
MYO18A,17,417,0.00641313,2.1929299564478923
MYO18B,22,1567,0.00791899,2.10133020545568
MYO19,17,185,0.00517929,2.285729771184519
MYO1A,12,137,0.0214408,1.668759014263611
MYO1B,2,558,0.00767892,2.1146998569245796
MYO1C,17,301,0.00726591,2.138709985876751
MYO1D,17,1304,0.0031387,2.5032501926054422
MYO1E,15,1240,0.000487383,3.312129623150784
MYO1F,19,449,0.00100921,2.996018454821821
MYO1G,7,124,0.00713066,2.146870270836425
MYO1H,12,530,0.00340291,2.468149536951868
MYO3A,10,1722,0.0018814,2.7255188603110843
MYO3B,2,2612,0.00318346,2.497100602652162
MYO3B-AS1,2,167,0.015314,1.8149113572420803
MYO5A,15,1177,0.00525545,2.2793900914055536
MYO5B,18,2109,0.00379883,2.420350140958012
MYO5C,15,510,0.0092221,2.0351701728113927
MYO6,6,593,0.0128893,1.8897706679369197
MYO7A,11,539,0.00063517,3.1971100224546025
MYO7B,2,530,0.00124744,2.9039803341178563
MYO9A,15,951,0.00223939,2.6498702654659074
MYO9B,19,896,0.000460755,3.336529943226355
MYOC,1,194,0.0100263,1.9988593048700474
MYOCD,17,619,0.000172437,3.7633695414594115
MYOCD-AS1,17,294,0.000172437,3.7633695414594115
MYOCOS,1,117,0.00946237,2.0240000740620663
MYOD1,11,103,0.0694528,1.1583102409265544
MYOF,10,1169,0.0169809,1.7700392955599422
MYOG,1,90,0.0527789,1.2775396654404925
MYOM1,18,1013,0.000537502,3.269619915435896
MYOM2,8,1371,0.0032187,2.492319499989182
MYOM3,1,383,0.0032493,2.488210189446097
MYOPARR,1,93,0.0527789,1.2775396654404925
MYORG,9,92,0.0236265,1.6266006094412162
MYOSLID,2,127,0.00167221,2.7767091837664455
MYOSLID-AS1,2,361,0.00167221,2.7767091837664455
MYOT,5,77,0.00210936,2.6758492938161775
MYOZ1,10,83,0.0381883,1.41806967435913
MYOZ2,4,334,0.00555815,2.255069736922943
MYOZ3,5,167,0.0649247,1.187590048454849
MYPN,10,695,0.00900326,2.0456002079322535
MYPOP,19,215,0.0191241,1.7184189940426233
MYRF,11,150,0.00207625,2.682720354540549
MYRF-AS1,11,82,0.0316424,1.4997305837322834
MYRFL,12,827,0.000522156,3.2821997272321455
MYRIP,3,2257,0.00055716,3.254020070286201
MYSM1,1,410,0.00672311,2.1724297829885915
MYT1,20,478,0.0013476,2.8704389976909175
MYT1L,2,2659,0.000254765,3.5938602362697303
MYT1L-AS1,2,119,0.0391057,1.4077599357466732
MYZAP,15,692,0.00145024,2.8385601204887343
MZB1,5,44,0.00775979,2.1101500317154285
MZF1,19,119,0.0349124,1.457020295243975
MZF1-AS1,19,125,0.0171981,1.7645195301328374
MZT1,13,194,0.0432265,1.3642499273676336
MZT2A,2,234,0.0133177,1.8755707724298103
MZT2B,2,132,0.0162948,1.7879509656332908
N4BP1,16,279,0.0106441,1.9728910539586624
N4BP2,4,486,0.00530518,2.2752998762903394
N4BP2L1,13,151,0.00419749,2.37701032984149
N4BP2L2,13,312,0.00254091,2.5950107175531696
N4BP2L2-IT2,13,77,0.00254091,2.5950107175531696
N4BP3,5,134,0.0156607,1.8051888298040641
N6AMT1,21,223,0.110723,0.9557621556745738
NAA11,4,82,0.00578869,2.2374197074541433
NAA15,4,396,0.0162847,1.7882202376852097
NAA16,13,321,0.000642451,3.19215999055095
NAA20,20,123,0.0565783,1.2473501058664958
NAA25,12,245,0.0123416,1.9086285334853894
NAA30,14,98,0.023094,1.6365008385217654
NAA35,9,267,0.0127576,1.89423101878033
NAA38,17,182,0.0145838,1.8361293001602634
NAA40,11,134,0.00457015,2.34006954542179
NAA50,3,111,0.0489384,1.3103502336464699
NAA60,16,422,0.0112556,1.9486313491980003
NAA80,3,65,0.0285332,1.5446495194607177
NAAA,4,288,0.00306316,2.5138303178188632
NAALAD2,11,466,0.00339453,2.4692203487875326
NAALADL1,11,113,0.0384052,1.415609968902994
NAALADL2,3,4913,0.00120318,2.919669395803155
NAALADL2-AS1,3,70,0.101517,0.993461224864265
NAALADL2-AS2,3,265,0.0206881,1.6842793932108182
NAALADL2-AS3,3,401,0.00528701,2.2767898681572656
NAB1,2,244,0.0121591,1.9150985697589256
NAB2,12,92,0.0050465,2.2970097224107398
NABP1,2,104,0.0738754,1.1315001546071692
NABP1-OT1,2,147,0.0184944,1.7329597536114119
NABP2,12,57,0.0415576,1.3813495414048795
NACA,12,93,0.0101302,1.9943819803022123
NACA2,17,75,0.0211111,1.675489137062599
NACA4P,8,87,0.0807811,1.0926902373175844
NACAD,7,160,0.000294754,3.5305402925394374
NACC1,19,106,0.0841046,1.0751802503378385
NACC2,9,591,0.0037133,2.4302399624136504
NADK,1,164,0.0125826,1.9002296093690814
NADK2,5,250,0.00229578,2.6390697318506344
NADSYN1,11,317,0.00938469,2.0275800686487053
NAE1,16,177,0.00100478,2.997929018089446
NAF1,4,171,0.00174655,2.757818976923976
NAGA,22,95,0.113976,0.9431865887063756
NAGK,2,196,0.0152795,1.8158908571997157
NAGLU,17,116,0.0153391,1.8142001212540662
NAGPA,16,150,0.000126218,3.898878705763568
NAGPA-AS1,16,141,0.000126218,3.898878705763568
NAGS,17,101,0.00123362,2.9088185982593733
NAIF1,9,85,0.0122507,1.9118390951809365
NAIP,5,31,0.0303075,1.518449886165652
NALCN,13,2059,0.00252517,2.5977093789010954
NALCN-AS1,13,1908,0.000719698,3.14284970419061
NALT1,9,88,0.0554971,1.2557297103350413
NAMA,9,165,0.051929,1.2845900405604125
NAMPT,7,214,0.0176344,1.7536393123572556
NANOG,12,312,0.0535414,1.2713102770727798
NANOGNB,12,99,0.00619998,2.2076097114539475
NANOGP8,15,116,0.0657416,1.1821597303925875
NANOS1,10,71,0.0130557,1.884199837897925
NANOS2,19,153,0.0268028,1.5718198342909842
NANOS3,19,132,0.00311272,2.5068599438610284
NANP,20,122,0.0152034,1.818059278100168
NANS,9,146,0.0244006,1.6125994944200663
NAP1L1,12,168,0.0330073,1.4813899995430304
NAP1L4,11,380,0.00584131,2.2334897450157647
NAP1L5,4,82,0.00705359,2.1515897879223562
NAPA,19,160,0.00281605,2.5503596384037475
NAPA-AS1,19,129,0.0046253,2.3348600933856654
NAPB,20,307,0.0534663,1.2719198691104714
NAPEPLD,7,324,0.00709431,2.1490898380873835
NAPG,18,203,0.00349704,2.4562994000956953
NAPRT,8,142,0.0502597,1.2987801080381784
NAPSA,19,89,0.0539511,1.2679996961328788
NAPSB,19,111,0.0207253,1.6834991742926901
NARF,17,251,0.0373517,1.4276896272135697
NARS1,18,218,0.00286847,2.5423496878427527
NARS2,11,643,0.00189841,2.7216099871098383
NASP,1,250,0.063866,1.19473028334612
NAT1,8,550,0.0064619,2.189639767114449
NAT10,11,185,0.00271994,2.565440676096801
NAT14,19,130,0.00425814,2.3707800638399372
NAT16,7,129,0.00151443,2.819750795831496
NAT2,8,270,0.00512979,2.2899004133887595
NAT8,2,127,0.0386723,1.4125999978880381
NAT8B,2,87,0.00669268,2.1743999396097635
NAT8L,4,77,0.0299723,1.5232799290936707
NAT9,17,104,0.0455649,1.3413695785232818
NATD1,17,148,0.00481715,2.317209830090378
NAV1,1,721,0.00144404,2.8404207766149434
NAV2,11,3323,8.99663e-05,4.045920140170199
NAV2-AS2,11,85,0.00321581,2.492709618626684
NAV2-AS4,11,157,0.0268504,1.5710492400762026
NAV2-AS5,11,109,0.0782294,1.1066300006716334
NAV3,12,1963,0.00307121,2.512690486805685
NAXD,13,293,0.00961391,2.017099947808196
NAXE,1,135,0.0331887,1.47900975855505
NBAS,2,1502,0.00135847,2.8669499479551948
NBAT1,6,121,0.0175954,1.7546008558070125
NBEA,13,2913,0.00312558,2.5050693807432887
NBEAL1,2,625,0.000993436,3.0028601061506777
NBEAL2,3,119,0.00429774,2.3667598615250727
NBEAP1,15,0,,-0.0
NBL1,1,201,0.0251646,1.59920996847262
NBN,8,280,0.0150487,1.822501015499497
NBPF1,1,298,0.0198372,1.7025196280672024
NBPF10,1,1112,0.00948309,2.0230501277157873
NBPF11,1,5375,0.000787028,3.1040098165238086
NBPF12,1,109,0.00999033,2.0004201659469927
NBPF13P,1,217,0.0122355,1.9123782786371561
NBPF14,1,36,0.00213339,2.670929744941809
NBPF15,1,50,0.00377868,2.4226598850394834
NBPF18P,1,70,0.0446457,1.3502203633420808
NBPF20,1,2332,0.000132303,3.8784303079767164
NBPF22P,5,183,0.00267639,2.5724506014771578
NBPF26,1,122,0.00213339,2.670929744941809
NBPF3,1,401,6.57597e-05,4.182040176742972
NBPF4,1,66,0.0053765,2.2695003498605586
